# extended ;1
# legs ;['blueleg']
# legs model ;['tetra']
# legs young modulus ;[35000.]
# legs poisson ratio ;[0.45]
# legs position on motor ;['counterclockwisedown', 'clockwisedown', 'counterclockwisedown', 'clockwisedown']
# connector ;bluepart
# connector type ;rigid
Target;Simulation;DepthCamera;Polhemus
[   8. -114.  -16.];[   7.97051614 -114.36842285  -15.94826273];[   9.74741422 -116.45248874  -12.88040417];[0.0, 0.0, 0.0]
[   8. -114.  -24.];[   7.97036322 -114.3690087   -23.92073817];[   9.68402706 -116.10525983  -18.78054445];[0.0, 0.0, 0.0]
[   8. -114.  -32.];[   7.97109768 -114.36827619  -31.89058278];[   8.63491427 -116.13023341  -25.73087926];[0.0, 0.0, 0.0]
[   0. -114.  -32.];[-7.43243149e-03 -1.14355938e+02 -3.18930918e+01];[   2.26290712 -115.93305372  -25.32440414];[0.0, 0.0, 0.0]
[   0. -114.  -24.];[-7.28369564e-03 -1.14353459e+02 -2.39248047e+01];[   2.675813   -116.25440416  -19.3357293 ];[0.0, 0.0, 0.0]
[   0. -114.  -16.];[-5.12260189e-03 -1.14357796e+02 -1.59510241e+01];[   2.0871996  -115.55801858  -14.02021128];[0.0, 0.0, 0.0]
[   0. -114.   -8.];[-2.68993107e-03 -1.14359732e+02 -7.97700625e+00];[   2.29224793 -115.95866801   -7.17304478];[0.0, 0.0, 0.0]
[   0. -114.    0.];[-1.21683992e-04 -1.14350028e+02 -2.93284623e-03];[   1.97256421 -115.84075428   -0.55678999];[0.0, 0.0, 0.0]
[   0. -114.    8.];[ 2.44279005e-03 -1.14359724e+02  7.97164310e+00];[   1.72596063 -115.66755297    6.40198172];[0.0, 0.0, 0.0]
[   0. -114.   16.];[ 4.88395585e-03 -1.14357984e+02  1.59461616e+01];[   1.54499165 -115.84682845   13.74673889];[0.0, 0.0, 0.0]
[   0. -114.   24.];[ 7.05488568e-03 -1.14353642e+02  2.39204303e+01];[   0.98952829 -115.54381279   18.76572759];[0.0, 0.0, 0.0]
[   0. -114.   32.];[ 9.07812608e-03 -1.14356065e+02  3.18908008e+01];[   1.29715253 -115.78073689   25.0146792 ];[0.0, 0.0, 0.0]
[  -8. -114.   32.];[  -7.96938502 -114.36819609   31.89251226];[  -5.64084032 -115.6038676    25.64989456];[0.0, 0.0, 0.0]
[  -8. -114.   24.];[  -7.97060201 -114.36882152   23.92477138];[  -5.76420751 -115.32002966   20.2755552 ];[0.0, 0.0, 0.0]
[  -8. -114.   16.];[  -7.97074575 -114.36828812   15.95273629];[  -5.62720312 -115.20086343   13.98213894];[0.0, 0.0, 0.0]
[  -8. -114.    8.];[  -7.97196441 -114.36618805    7.97943054];[  -5.63491669 -115.49375251    7.79016044];[0.0, 0.0, 0.0]
[  -8. -114.    0.];[-7.97418945e+00 -1.14364137e+02  5.35061648e-03];[  -4.99493298 -115.84091118    1.20696544];[0.0, 0.0, 0.0]
[  -8. -114.   -8.];[  -7.9771122  -114.36619981   -7.96928754];[  -5.21975236 -115.74484133   -6.05799898];[0.0, 0.0, 0.0]
[  -8. -114.  -16.];[  -7.98123403 -114.36192334  -15.94419621];[  -5.68939582 -115.39916005  -13.24930715];[0.0, 0.0, 0.0]
[  -8. -114.  -24.];[  -7.98630245 -114.3459072   -23.92108746];[  -5.65192245 -115.26124594  -19.31015681];[0.0, 0.0, 0.0]
[  -8. -114.  -32.];[  -7.99112329 -114.33357494  -31.89663096];[  -5.25419345 -115.68621049  -25.44995848];[0.0, 0.0, 0.0]
[ -16. -114.  -32.];[ -15.96993501 -114.33379374  -31.89924509];[ -12.36402486 -115.20103685  -26.05734024];[0.0, 0.0, 0.0]
[ -16. -114.  -24.];[ -15.96403503 -114.34849882  -23.92547537];[ -12.60185765 -114.48126553  -20.70682859];[0.0, 0.0, 0.0]
[ -16. -114.  -16.];[ -15.95565961 -114.36902524  -15.94796319];[ -12.70401178 -114.5798125   -14.51494864];[0.0, 0.0, 0.0]
[ -16. -114.   -8.];[ -15.95015258 -114.37276843   -7.97288178];[ -14.31441602 -113.50228675   -9.25265207];[0.0, 0.0, 0.0]
