# extended ;1
# legs ;['blueleg']
# legs model ;['tetra']
# legs young modulus ;[35000.]
# legs poisson ratio ;[0.45]
# legs position on motor ;['counterclockwisedown', 'clockwisedown', 'counterclockwisedown', 'clockwisedown']
# connector ;bluepart
# connector type ;rigid
Target;Simulation;DepthCamera;Polhemus
[  32. -114.   16.];[  31.93260512 -114.28774934   15.96835329];[0 0 0];[27.57 -126.14 14.89]
[  24. -114.   24.];[  23.95975864 -114.27829924   23.95079249];[0 0 0];[21.04 -126.0 21.46]
[  24. -114.   16.];[  23.95315632 -114.28469629   15.96592148];[0 0 0];[21.04 -126.34 15.17]
[  24. -114.    8.];[  23.94967227 -114.28036738    7.98090731];[0 0 0];[21.39 -126.74 8.02]
[  24. -114.    0.];[ 2.39497505e+01 -1.14266723e+02 -4.90437863e-03];[0 0 0];[21.73 -127.13 0.31]
[  24. -114.   -8.];[  23.94953003 -114.26466347   -7.99155914];[0 0 0];[21.65 -127.18 -7.34]
[  24. -114.  -16.];[  23.94906167 -114.2729707   -15.97680411];[0 0 0];[21.65 -127.06 -14.6]
[  24. -114.  -24.];[  23.95074461 -114.27821816  -23.95995768];[0 0 0];[21.39 -127.14 -21.47]
[  16. -114.  -32.];[  15.96832196 -114.28766784  -31.9328182 ];[0 0 0];[14.27 -127.49 -27.28]
[  16. -114.  -24.];[  15.96589435 -114.2846421   -23.95334393];[0 0 0];[14.31 -127.3 -21.61]
[  16. -114.  -16.];[  15.96466284 -114.2803773   -15.97139689];[0 0 0];[14.49 -127.27 -15.06]
[  16. -114.   -8.];[  15.96492596 -114.27452791   -7.9879702 ];[0 0 0];[14.57 -127.24 -7.78]
[  16. -114.    0.];[ 1.59667541e+01 -1.14267259e+02 -3.40862095e-03];[0 0 0];[14.64 -127.07 -0.53]
[  16. -114.    8.];[  15.96829145 -114.27371109    7.9811461 ];[0 0 0];[14.63 -126.81 7.05]
[  16. -114.   16.];[  15.97122844 -114.28041201   15.96468653];[0 0 0];[14.53 -126.38 14.23]
[  16. -114.   24.];[  15.97664357 -114.27287983   23.94913061];[0 0 0];[14.42 -126.12 20.93]
[  16. -114.   32.];[  15.98224521 -114.26867863   31.93152834];[0 0 0];[14.05 -126.09 27.4]
[   8. -114.   32.];[   7.99491547 -114.26017767   31.93255612];[0 0 0];[7.07 -126.27 27.57]
[   8. -114.   24.];[   7.99141142 -114.26456489   23.94959134];[0 0 0];[6.92 -126.33 21.61]
[   8. -114.   16.];[   7.98782358 -114.27439375   15.96496606];[0 0 0];[6.93 -126.62 15.37]
[   8. -114.    8.];[   7.98537555 -114.26843341    7.98202522];[0 0 0];[7.25 -126.87 8.18]
[   8. -114.    0.];[ 7.98361117e+00 -1.14263691e+02 -1.74882679e-03];[0 0 0];[7.32 -127.13 0.87]
[   8. -114.   -8.];[   7.98201748 -114.26844506   -7.98551981];[0 0 0];[7.39 -127.3 -6.52]
[   8. -114.  -16.];[   7.98113869 -114.27370895  -15.96844551];[0 0 0];[7.37 -127.21 -13.69]
[   8. -114.  -24.];[   7.98090024 -114.28034547  -23.94984177];[0 0 0];[7.3 -127.2 -20.15]
[   8. -114.  -32.];[   7.98132235 -114.28699045  -31.92873932];[0 0 0];[7.07 -127.59 -26.62]
[   0. -114.  -32.];[-6.41503651e-03 -1.14275593e+02 -3.19291906e+01];[0 0 0];[-0.12 -127.75 -26.32]
[   0. -114.  -24.];[-4.89495943e-03 -1.14266735e+02 -2.39498975e+01];[0 0 0];[-0.49 -127.49 -21.07]
[   0. -114.  -16.];[-3.40133767e-03 -1.14267176e+02 -1.59669080e+01];[0 0 0];[-0.57 -127.63 -14.97]
[   0. -114.   -8.];[-1.74589622e-03 -1.14263622e+02 -7.98375302e+00];[0 0 0];[-0.71 -127.58 -7.92]
[   0. -114.    0.];[-6.44025854e-05 -1.14249624e+02 -6.33648545e-05];[0 0 0];[-0.63 -127.45 -0.9]
[   0. -114.    8.];[ 1.60989326e-03 -1.14263524e+02  7.98362787e+00];[0 0 0];[-0.63 -127.22 6.52]
[   0. -114.   16.];[ 3.26533937e-03 -1.14267126e+02  1.59667887e+01];[0 0 0];[-0.92 -126.71 13.93]
[   0. -114.   24.];[ 4.76207687e-03 -1.14266717e+02  2.39497869e+01];[0 0 0];[-1.16 -126.39 20.21]
[   0. -114.   32.];[ 6.28068265e-03 -1.14275588e+02  3.19290887e+01];[0 0 0];[-1.03 -126.29 27.07]
[  -8. -114.   32.];[  -7.98147261 -114.28701372   31.92860597];[0 0 0];[-7.81 -126.31 27.53]
[  -8. -114.   24.];[  -7.98104939 -114.28035265   23.94970467];[0 0 0];[-8.44 -126.46 21.81]
[  -8. -114.   16.];[  -7.98128594 -114.27370357   15.96830655];[0 0 0];[-8.47 -126.73 15.14]
[  -8. -114.    8.];[  -7.98216219 -114.26842924    7.98538156];[0 0 0];[-8.52 -127.02 7.99]
[  -8. -114.    0.];[-7.98375794e+00 -1.14263571e+02  1.61444650e-03];[0 0 0];[-8.38 -127.36 0.62]
[  -8. -114.   -8.];[  -7.98551306 -114.2684604    -7.98215131];[0 0 0];[-8.42 -127.54 -6.98]
[  -8. -114.  -16.];[  -7.98795956 -114.27444758  -15.96507724];[0 0 0];[-8.59 -127.32 -13.93]
[  -8. -114.  -24.];[  -7.99154089 -114.26457034  -23.94968895];[0 0 0];[-8.53 -127.17 -19.91]
[  -8. -114.  -32.];[  -7.99504156 -114.26009175  -31.93265901];[0 0 0];[-8.33 -127.45 -26.52]
[ -16. -114.  -32.];[ -15.98238515 -114.26860694  -31.93161308];[0 0 0];[-15.13 -127.52 -26.79]
[ -16. -114.  -24.];[ -15.9767835  -114.27288061  -23.94921771];[0 0 0];[-15.66 -127.47 -20.85]
[ -16. -114.  -16.];[ -15.97137831 -114.28039455  -15.96479813];[0 0 0];[-15.75 -127.53 -14.77]
[ -16. -114.   -8.];[ -15.9684392  -114.27372495   -7.98126926];[0 0 0];[-15.85 -127.47 -7.8]
[ -16. -114.    0.];[-1.59669198e+01 -1.14267136e+02  3.27244717e-03];[0 0 0];[-15.97 -127.37 -0.78]
[ -16. -114.    8.];[ -15.96510079 -114.27440108    7.9878283 ];[0 0 0];[-15.96 -127.09 6.64]
[ -16. -114.   16.];[ -15.96482696 -114.28038566   15.97124139];[0 0 0];[-16.12 -126.63 13.95]
[ -16. -114.   24.];[ -15.96606111 -114.28466599   23.95318437];[0 0 0];[-16.17 -126.3 21.21]
[ -16. -114.   32.];[ -15.96848979 -114.28771246   31.93265693];[0 0 0];[-16.12 -126.33 27.61]
[ -24. -114.   24.];[ -23.95092737 -114.27824999   23.95978194];[0 0 0];[-22.66 -126.42 21.78]
[ -24. -114.   16.];[ -23.94926485 -114.27284185   15.97665295];[0 0 0];[-22.87 -126.69 15.14]
[ -24. -114.    8.];[ -23.94972387 -114.26452719    7.99141666];[0 0 0];[-23.14 -127.1 7.85]
[ -24. -114.    0.];[-2.39499092e+01 -1.14266747e+02  4.77173824e-03];[0 0 0];[-23.12 -127.44 -0.04]
[ -24. -114.   -8.];[ -23.94983925 -114.28035923   -7.98102798];[0 0 0];[-23.0 -127.44 -7.33]
[ -24. -114.  -16.];[ -23.95332583 -114.28465705  -15.96602541];[0 0 0];[-23.07 -127.16 -14.23]
[ -24. -114.  -24.];[ -23.95992425 -114.27823444  -23.95087763];[0 0 0];[-22.94 -127.21 -20.66]
[ -32. -114.  -16.];[ -31.93280262 -114.28767753  -15.96844864];[0 0 0];[-29.07 -127.37 -14.68]
[ -32. -114.   -8.];[ -31.92874202 -114.28699851   -7.98144737];[0 0 0];[-28.93 -127.14 -7.52]
[ -32. -114.    0.];[-3.19292096e+01 -1.14275600e+02  6.29241859e-03];[0 0 0];[-29.07 -127.0 0.2]
[ -32. -114.    8.];[ -31.93270754 -114.26003756    7.9949217 ];[0 0 0];[-29.34 -126.82 7.76]
[ -32. -114.   16.];[ -31.93167137 -114.26857643   15.982255  ];[0 0 0];[-29.82 -126.53 15.07]
[ -32. -122.   16.];[ -31.92582731 -122.21112778   15.97569053];[0 0 0];[-28.81 -133.22 14.42]
[ -32. -122.    8.];[ -31.92259041 -122.2243232     7.99027582];[0 0 0];[-28.38 -133.65 7.31]
[ -32. -122.    0.];[-3.19207887e+01 -1.22232881e+02  4.50327963e-03];[0 0 0];[-28.06 -133.67 0.19]
[ -32. -122.   -8.];[ -31.92214147 -122.23197463   -7.9809794 ];[0 0 0];[-28.06 -133.69 -7.34]
[ -32. -122.  -16.];[ -31.92657109 -122.22096777  -15.96602736];[0 0 0];[-28.16 -133.63 -13.7]
[ -24. -122.  -24.];[ -23.95596894 -122.20766921  -23.94987661];[0 0 0];[-22.07 -133.83 -20.4]
[ -24. -122.  -16.];[ -23.94969215 -122.22913876  -15.9650198 ];[0 0 0];[-21.86 -133.76 -14.48]
[ -24. -122.   -8.];[ -23.9461535  -122.23731402   -7.98097449];[0 0 0];[-22.18 -133.77 -7.9]
[ -24. -122.    0.];[-2.39450606e+01 -1.22236083e+02  3.46262395e-03];[0 0 0];[-22.48 -133.81 -0.17]
[ -24. -122.    8.];[ -23.94649247 -122.22621712    7.98848122];[0 0 0];[-22.52 -133.51 7.3]
[ -24. -122.   16.];[ -23.94716797 -122.22116213   15.9726478 ];[0 0 0];[-22.59 -133.11 14.28]
[ -24. -122.   24.];[ -23.94991667 -122.20771089   23.95582372];[0 0 0];[-22.56 -133.16 20.79]
[ -16. -122.   32.];[ -15.96606752 -122.22103191   31.92641895];[0 0 0];[-15.7 -133.13 27.33]
[ -16. -122.   24.];[ -15.96505158 -122.22918101   23.9495378 ];[0 0 0];[-15.35 -132.89 21.23]
[ -16. -122.   16.];[ -15.96464368 -122.23277387   15.96909543];[0 0 0];[-15.72 -133.21 15.19]
[ -16. -122.    8.];[ -15.96525099 -122.23155974    7.98644001];[0 0 0];[-15.97 -133.56 7.91]
[ -16. -122.    0.];[-1.59653755e+01 -1.22236770e+02  2.32350011e-03];[0 0 0];[-16.13 -133.89 0.26]
[ -16. -122.   -8.];[ -15.96642035 -122.2395854    -7.98128935];[0 0 0];[-16.02 -133.9 -7.01]
[ -16. -122.  -16.];[ -15.96924908 -122.23274935  -15.96462028];[0 0 0];[-15.75 -133.62 -13.18]
[ -16. -122.  -24.];[ -15.97279842 -122.22112137  -23.94714014];[0 0 0];[-15.52 -133.72 -19.89]
[ -16. -122.  -32.];[ -15.97584026 -122.21107945  -31.9257969 ];[0 0 0];[-15.1 -134.16 -26.74]
[  -8. -122.  -32.];[  -7.99042539 -122.22430614  -31.92256455];[0 0 0];[-8.23 -134.28 -26.97]
[  -8. -122.  -24.];[  -7.98862943 -122.22620227  -23.94647186];[0 0 0];[-8.03 -133.82 -20.69]
[  -8. -122.  -16.];[  -7.98659068 -122.2315551   -15.96523547];[0 0 0];[-8.57 -133.95 -14.53]
[  -8. -122.   -8.];[  -7.9844245  -122.24014532   -7.98198131];[0 0 0];[-8.76 -134.06 -8.21]
[  -8. -122.    0.];[-7.98323817e+00 -1.22237378e+02  1.13719050e-03];[0 0 0];[-8.86 -134.07 -1.25]
[  -8. -122.    8.];[  -7.98199151 -122.24014538    7.98426761];[0 0 0];[-8.93 -133.88 6.27]
[  -8. -122.   16.];[  -7.98130609 -122.2395967    15.96626486];[0 0 0];[-8.74 -133.29 13.05]
[  -8. -122.   24.];[  -7.98099774 -122.23734056   23.94599999];[0 0 0];[-8.53 -133.03 19.82]
[  -8. -122.   32.];[  -7.98100943 -122.23202114   31.92199244];[0 0 0];[-8.39 -133.06 26.92]
[   0. -122.   32.];[ 4.48275250e-03 -1.22232903e+02  3.19206486e+01];[0 0 0];[-1.79 -132.97 27.1]
[   0. -122.   24.];[ 3.44689877e-03 -1.22236086e+02  2.39449138e+01];[0 0 0];[-1.32 -132.85 21.17]
[   0. -122.   16.];[ 2.31195602e-03 -1.22236760e+02  1.59652244e+01];[0 0 0];[-1.29 -133.26 14.95]
[   0. -122.    8.];[ 1.12943033e-03 -1.22237357e+02  7.98308293e+00];[0 0 0];[-0.97 -133.77 8.17]
[   0. -122.    0.];[-8.15463104e-05 -1.22235324e+02 -7.73814876e-05];[0 0 0];[-0.88 -134.17 0.84]
[   0. -122.   -8.];[-1.29446523e-03 -1.22237366e+02 -7.98323608e+00];[0 0 0];[-0.51 -134.3 -6.72]
[   0. -122.  -16.];[-2.47812456e-03 -1.22236760e+02 -1.59653709e+01];[0 0 0];[-0.41 -133.81 -12.98]
[   0. -122.  -24.];[-3.61564768e-03 -1.22236070e+02 -2.39450525e+01];[0 0 0];[-0.31 -133.88 -19.28]
[   0. -122.  -32.];[-4.65493385e-03 -1.22232867e+02 -3.19207781e+01];[0 0 0];[-0.06 -134.27 -26.22]
[   8. -122.  -32.];[   7.98082796 -122.23196162  -31.92214738];[0 0 0];[5.86 -134.1 -26.89]
[   8. -122.  -24.];[   7.98081952 -122.23730219  -23.94615911];[0 0 0];[6.57 -133.78 -21.0]
[   8. -122.  -16.];[   7.98113078 -122.23957659  -15.96642627];[0 0 0];[6.93 -133.96 -14.71]
[   8. -122.   -8.];[   7.98181883 -122.24014196   -7.98442869];[0 0 0];[6.93 -134.02 -7.98]
[   8. -122.    0.];[ 7.98306455e+00 -1.22237459e+02 -1.29385628e-03];[0 0 0];[6.91 -134.11 -0.71]
[   8. -122.    8.];[   7.98425554 -122.24016141    7.98182932];[0 0 0];[6.94 -133.84 6.57]
[   8. -122.   16.];[   7.98642543 -122.23162033   15.96509126];[0 0 0];[7.0 -133.16 13.02]
[   8. -122.   24.];[   7.98847064 -122.22619369   23.94635712];[0 0 0];[6.75 -132.9 19.73]
[   8. -122.   32.];[   7.99026235 -122.22431535   31.92246365];[0 0 0];[6.39 -132.87 26.95]
[  16. -122.   32.];[  15.97567272 -122.21115851   31.92569111];[0 0 0];[12.93 -132.89 27.47]
[  16. -122.   24.];[  15.97262884 -122.22119121   23.94702101];[0 0 0];[13.34 -132.84 21.4]
[  16. -122.   16.];[  15.96907753 -122.23277427   15.9644903 ];[0 0 0];[13.61 -133.11 15.09]
[  16. -122.    8.];[  15.96624209 -122.23960819    7.98114182];[0 0 0];[13.87 -133.55 7.89]
[  16. -122.    0.];[ 1.59651999e+01 -1.22236760e+02 -2.47956507e-03];[0 0 0];[14.05 -133.82 0.41]
[  16. -122.   -8.];[  15.96506203 -122.23162615   -7.98659684];[0 0 0];[14.13 -133.81 -6.96]
[  16. -122.  -16.];[  15.96444707 -122.23283291  -15.96925282];[0 0 0];[14.38 -133.67 -13.85]
[  16. -122.  -24.];[  15.96486539 -122.22912583  -23.94971154];[0 0 0];[13.85 -133.68 -20.47]
[  16. -122.  -32.];[  15.96587793 -122.22095345  -31.92659385];[0 0 0];[13.67 -134.04 -27.33]
[  24. -122.  -24.];[  23.94970714 -122.20773954  -23.95598181];[0 0 0];[20.19 -134.01 -21.61]
[  24. -122.  -16.];[  23.94696411 -122.22117974  -15.97281511];[0 0 0];[20.53 -133.79 -15.12]
[  24. -122.   -8.];[  23.94630677 -122.22619038   -7.98864598];[0 0 0];[20.58 -133.66 -7.76]
[  24. -122.    0.];[ 2.39448683e+01 -1.22236087e+02 -3.61904729e-03];[0 0 0];[20.68 -133.55 -0.12]
[  24. -122.    8.];[  23.94595896 -122.23734944    7.98083193];[0 0 0];[20.75 -133.16 7.07]
[  24. -122.   16.];[  23.94950065 -122.22920119   15.96489491];[0 0 0];[20.81 -132.76 14.03]
[  24. -122.   24.];[  23.95579267 -122.20773282   23.9497768 ];[0 0 0];[20.64 -132.72 20.69]
[  32. -122.   16.];[  31.92635733 -122.22104635   15.96591343];[0 0 0];[26.39 -133.07 14.5]
[  32. -122.    8.];[  31.92192421 -122.23202926    7.98084304];[0 0 0];[26.49 -133.16 7.46]
[  32. -122.    0.];[ 3.19205732e+01 -1.22232906e+02 -4.65914858e-03];[0 0 0];[26.7 -133.46 0.15]
[  32. -122.   -8.];[  31.92238063 -122.22431689   -7.99044587];[0 0 0];[26.87 -133.59 -7.44]
[  32. -122.  -16.];[  31.92560625 -122.21113939  -15.9758656 ];[0 0 0];[26.98 -133.59 -14.25]
[  40. -130.    0.];[ 3.98612905e+01 -1.30126441e+02 -3.67898611e-03];[0 0 0];[32.29 -140.33 -0.71]
[  32. -130.  -24.];[  31.90461097 -130.11602847  -23.93878254];[0 0 0];[25.98 -140.8 -20.72]
[  32. -130.  -16.];[  31.90259596 -130.1362277   -15.96212751];[0 0 0];[25.87 -140.46 -14.36]
