# extended ;1
# legs ;['blueleg']
# legs model ;['beam']
# legs young modulus ;[35000.]
# legs poisson ratio ;[0.45]
# legs position on motor ;['counterclockwisedown', 'clockwisedown', 'counterclockwisedown', 'clockwisedown']
# connector ;bluepart
# connector type ;rigid
Target;Simulation;DepthCamera;Polhemus
[   0. -114.   24.];[ 1.00157411e-08 -1.14231969e+02  2.39288946e+01];[0 0 0];[0.03 -114.98 21.42]
[   0. -114.   32.];[ 1.02643423e-08 -1.14220937e+02  3.19127531e+01];[0 0 0];[0.06 -114.35 29.16]
[  -8. -114.   32.];[  -7.97923445 -114.22149364   31.9136118 ];[0 0 0];[-8.06 -114.51 29.51]
[  -8. -114.   24.];[  -7.9768361  -114.23281198   23.92980513];[0 0 0];[-8.55 -114.94 22.52]
[  -8. -114.   16.];[  -7.97420274 -114.24659281   15.94856883];[0 0 0];[-8.42 -115.42 14.78]
[  -8. -114.    8.];[  -7.97142845 -114.26450328    7.97172434];[0 0 0];[-8.31 -115.75 6.86]
[  -8. -114.    0.];[-7.97072924e+00 -1.14267982e+02  3.71140316e-04];[0 0 0];[-8.22 -116.03 -1.21]
[  -8. -114.   -8.];[  -7.97142531 -114.2645295    -7.97110272];[0 0 0];[-8.24 -116.06 -9.58]
[  -8. -114.  -16.];[  -7.97419889 -114.24662581  -15.94805705];[0 0 0];[-8.27 -115.75 -17.76]
[  -8. -114.  -24.];[  -7.97683316 -114.23283722  -23.92939188];[0 0 0];[-8.73 -115.19 -25.15]
[  -8. -114.  -32.];[  -7.97939347 -114.22150751  -31.91342963];[0 0 0];[-8.73 -114.58 -32.29]
[ -16. -114.  -32.];[ -15.95960761 -114.22195537  -31.91593737];[0 0 0];[-16.39 -114.57 -32.57]
[ -16. -114.  -24.];[ -15.95481895 -114.23370338  -23.9316743 ];[0 0 0];[-16.88 -114.88 -26.15]
[ -16. -114.  -16.];[ -15.94968246 -114.24783128  -15.94991967];[0 0 0];[-16.77 -115.34 -18.42]
[ -16. -114.   -8.];[ -15.9473513  -114.25127272   -7.97401048];[0 0 0];[-16.61 -115.67 -10.65]
[ -16. -114.    0.];[-1.59460491e+01 -1.14254664e+02 -3.72761360e-04];[0 0 0];[-16.67 -115.9 -2.46]
[ -16. -114.    8.];[ -15.94734914 -114.2512787     7.97338764];[0 0 0];[-16.7 -115.75 5.8]
[ -16. -114.   16.];[ -15.94967635 -114.24785534   15.94940578];[0 0 0];[-16.7 -115.33 14.38]
[ -16. -114.   24.];[ -15.95481276 -114.23372911   23.9312563 ];[0 0 0];[-16.93 -114.74 21.98]
[ -16. -114.   32.];[ -15.95977185 -114.22196754   31.91575447];[0 0 0];[-16.93 -114.18 30.01]
[ -24. -114.   24.];[ -23.93389978 -114.23421676   23.93507111];[0 0 0];[-23.89 -114.29 23.04]
[ -24. -114.   16.];[ -23.93011884 -114.23835849   15.95415748];[0 0 0];[-23.81 -114.69 15.21]
[ -24. -114.    8.];[ -23.92685856 -114.24192133    7.97622966];[0 0 0];[-24.01 -115.11 7.18]
[ -24. -114.    0.];[-2.39250137e+01 -1.14245346e+02  3.75353819e-04];[0 0 0];[-24.33 -115.43 -1.51]
[ -24. -114.   -8.];[ -23.92685534 -114.24192596   -7.9756011 ];[0 0 0];[-24.23 -115.36 -9.99]
[ -24. -114.  -16.];[ -23.93011287 -114.23837006  -15.95364031];[0 0 0];[-24.28 -114.98 -17.92]
[ -24. -114.  -24.];[ -23.93449903 -114.23416356  -23.93427425];[0 0 0];[-24.53 -114.4 -25.24]
[ -32. -114.  -16.];[ -31.91165576 -114.23124723  -15.95883436];[0 0 0];[-30.97 -114.4 -18.12]
[ -32. -114.   -8.];[ -31.90834453 -114.23494533   -7.97844708];[0 0 0];[-30.67 -114.64 -10.21]
[ -32. -114.    0.];[-3.19059886e+01 -1.14238474e+02 -3.78637636e-04];[0 0 0];[-30.51 -114.83 -1.7]
[ -32. -114.    8.];[ -31.90834019 -114.23494859    7.97781097];[0 0 0];[-30.94 -114.71 6.84]
[ -32. -114.   16.];[ -31.91244492 -114.23113143   15.95783   ];[0 0 0];[-31.38 -114.45 15.09]
[ -32. -122.   16.];[ -31.90472142 -122.19254968   15.95666319];[0 0 0];[-31.24 -121.3 15.17]
[ -32. -122.    8.];[ -31.90149027 -122.19471535    7.97830107];[0 0 0];[-30.76 -121.86 7.07]
[ -32. -122.    0.];[-3.18997860e+01 -1.22196469e+02  3.75001404e-04];[0 0 0];[-30.29 -122.04 -1.67]
[ -32. -122.   -8.];[ -31.90148716 -122.19471409   -7.97767116];[0 0 0];[-30.27 -121.95 -9.81]
[ -32. -122.  -16.];[ -31.90470939 -122.19277353  -15.95638625];[0 0 0];[-30.73 -121.5 -17.6]
[ -24. -122.  -24.];[ -23.93024941 -122.19792615  -23.92906477];[0 0 0];[-23.94 -121.44 -25.39]
[ -24. -122.  -16.];[ -23.92604857 -122.19970975  -15.95260395];[0 0 0];[-23.75 -121.78 -18.52]
[ -24. -122.   -8.];[ -23.92347896 -122.2012355    -7.97608301];[0 0 0];[-23.55 -122.19 -10.47]
[ -24. -122.    0.];[-2.39221588e+01 -1.22202821e+02 -3.71476324e-04];[0 0 0];[-23.51 -122.35 -1.97]
[ -24. -122.    8.];[ -23.92347657 -122.2012348     7.97546121];[0 0 0];[-23.68 -122.19 6.68]
[ -24. -122.   16.];[ -23.92604302 -122.19971335   15.95209434];[0 0 0];[-24.02 -121.8 14.89]
[ -24. -122.   24.];[ -23.92967582 -122.19786756   23.92945412];[0 0 0];[-23.95 -121.3 22.46]
[ -16. -122.   32.];[ -15.95883435 -122.18539108   31.90787421];[0 0 0];[-16.13 -121.01 30.35]
[ -16. -122.   24.];[ -15.9532832  -122.19588401   23.92765241];[0 0 0];[-16.01 -121.46 23.21]
[ -16. -122.   16.];[ -15.94820459 -122.20758726   15.94843767];[0 0 0];[-16.1 -121.96 15.49]
[ -16. -122.    8.];[ -15.94636941 -122.20886229    7.97394117];[0 0 0];[-16.36 -122.4 7.35]
[ -16. -122.    0.];[-1.59453487e+01 -1.22210730e+02  3.68608482e-04];[0 0 0];[-16.7 -122.91 -1.31]
[ -16. -122.   -8.];[ -15.94636777 -122.2088621    -7.97332573];[0 0 0];[-16.51 -122.83 -9.99]
[ -16. -122.  -16.];[ -15.94819788 -122.2076035   -15.94793107];[0 0 0];[-16.57 -122.44 -17.82]
[ -16. -122.  -24.];[ -15.95327455 -122.19590769  -23.92723835];[0 0 0];[-16.67 -121.85 -24.81]
[ -16. -122.  -32.];[ -15.95834385 -122.18530993  -31.90823788];[0 0 0];[-16.55 -121.55 -32.83]
