# extended ;1
# legs ;['blueleg']
# legs model ;['cosserat']
# legs young modulus ;[35000.]
# legs poisson ratio ;[0.45]
# legs position on motor ;['counterclockwisedown', 'clockwisedown', 'counterclockwisedown', 'clockwisedown']
# connector ;bluepart
# connector type ;rigid
Target;Simulation;DepthCamera;Polhemus
[  16. -114.   -8.];[  15.9333141  -114.42795035   -7.96770618];[0 0 0];[13.34 -132.13 -0.83]
[  16. -114.    0.];[ 1.59332161e+01 -1.14429239e+02 -4.67286084e-09];[0 0 0];[13.19 -131.76 6.14]
[  16. -114.    8.];[  15.9333141  -114.42795034    7.96770617];[0 0 0];[13.09 -131.16 13.29]
[  16. -114.   16.];[  15.93360154 -114.42405572   15.93360153];[0 0 0];[12.83 -130.1 20.46]
[  16. -114.   24.];[  15.93298233 -114.42415649   23.89402924];[0 0 0];[12.91 -129.24 27.39]
[  16. -114.   32.];[  15.93269991 -114.4196459    31.84738127];[0 0 0];[12.64 -128.48 34.13]
[   8. -114.   32.];[   7.96745518 -114.42388513   31.84755506];[0 0 0];[6.8 -128.71 34.34]
[   8. -114.   24.];[   7.96748745 -114.42811255   23.89383265];[0 0 0];[6.41 -129.43 28.11]
[   8. -114.   16.];[   7.96770618 -114.42795048   15.93331407];[0 0 0];[6.53 -130.27 21.21]
[   8. -114.    8.];[   7.96814712 -114.42358237    7.96814712];[0 0 0];[6.62 -131.06 14.28]
[   8. -114.    0.];[ 7.96807964e+00 -1.14424915e+02  8.49255618e-09];[0 0 0];[6.89 -131.68 7.24]
[   8. -114.   -8.];[   7.96814711 -114.42358241   -7.96814711];[0 0 0];[6.87 -132.04 0.45]
[   8. -114.  -16.];[   7.96770617 -114.42795053  -15.93331409];[0 0 0];[6.9 -131.97 -6.67]
[   8. -114.  -24.];[   7.96748744 -114.4281125   -23.89383265];[0 0 0];[6.91 -131.94 -13.74]
[   8. -114.  -32.];[   7.9674552  -114.42388512  -31.84755507];[0 0 0];[6.77 -132.16 -20.75]
[   0. -114.  -32.];[ 3.55657293e-09 -1.14425276e+02 -3.18476077e+01];[0 0 0];[0.51 -132.41 -20.79]
[   0. -114.  -24.];[-9.39266453e-09 -1.14429417e+02 -2.38937637e+01];[0 0 0];[0.15 -132.32 -14.87]
